"Dataset","Mean Acc. Pairs without Catch22","Mean Acc. Pairs w Catch22","TinyCOCALITE","TinyCOCALITETime","TinyCOCALITETime-4","TinyCOCALITETime-3","TinyCOCALITETime-2","LITETime","LITE-Catch22-Time","LITE","LITE-Catch22"
"ElectricDevices",0.699299701724809,0.676591881727402,0.687511347425756,0.706263779016989,0.705615354688108,0.703825703540397,0.699623913889249,0.711451173648035,0.686551679419012,0.678303721955648,0.655219815847491
"EOGHorizontalSignal",0.624309392265193,0.612983425414365,0.616022099447514,0.668508287292818,0.665745856353591,0.656077348066298,0.643922651933702,0.657458563535912,0.654696132596685,0.604419889502762,0.596132596685083
"EOGVerticalSignal",0.42707182320442,0.423204419889503,0.434806629834254,0.450276243093923,0.452486187845304,0.45414364640884,0.447790055248619,0.453038674033149,0.447513812154696,0.403867403314917,0.40939226519337
"EthanolLevel",0.7698,0.603,0.6496,0.82,0.8108,0.8012,0.7806,0.788,0.744,0.7536,0.5964
"FaceAll",0.775798816568047,0.932899408284024,0.893491124260355,0.914792899408284,0.911242603550296,0.907692307692308,0.902011834319527,0.778698224852071,0.942603550295858,0.77810650887574,0.920473372781065
"FaceFour",0.934090909090909,0.882954545454546,0.918181818181818,0.943181818181818,0.936363636363636,0.938636363636364,0.939772727272727,0.931818181818182,0.897727272727273,0.922727272727273,0.852272727272727
"FacesUCR",0.955268292682927,0.954634146341463,0.955317073170732,0.96780487804878,0.966731707317073,0.964487804878049,0.96209756097561,0.960975609756098,0.965365853658536,0.944390243902439,0.942439024390244
"FiftyWords",0.74021978021978,0.765274725274725,0.767032967032967,0.8,0.798681318681319,0.792527472527473,0.783296703296703,0.764835164835165,0.78021978021978,0.711208791208791,0.732747252747253
"Fish",0.979428571428571,0.982857142857143,0.982857142857143,0.988571428571428,0.988571428571429,0.987428571428572,0.985142857142857,0.977142857142857,0.988571428571428,0.978285714285714,0.976
"FordA",0.953787878787879,0.950681818181818,0.953636363636364,0.960606060606061,0.959090909090909,0.957575757575758,0.956363636363636,0.958333333333333,0.95530303030303,0.949848484848485,0.945
"FordB",0.844197530864198,0.827777777777778,0.834814814814815,0.850617283950617,0.846666666666667,0.844074074074074,0.841234567901235,0.846913580246913,0.846913580246913,0.840493827160494,0.821481481481481
"FreezerRegularTrain",0.997228070175438,0.997508771929824,0.997614035087719,0.997894736842105,0.997894736842105,0.998,0.997824561403509,0.99719298245614,0.998245614035088,0.99740350877193,0.997473684210526
"FreezerSmallTrain",0.968315789473684,0.926666666666667,0.948842105263158,0.96140350877193,0.960561403508772,0.959438596491228,0.955789473684211,0.970175438596491,0.932280701754386,0.967017543859649,0.920140350877193
"Fungi",0.998924731182795,1,1,1,1,1,1,1,1,0.991397849462366,1
"GestureMidAirD1",0.749230769230769,0.692307692307692,0.726153846153846,0.753846153846154,0.755384615384615,0.753076923076923,0.742307692307692,0.753846153846154,0.707692307692308,0.713846153846154,0.687692307692308
"GestureMidAirD2",0.672307692307692,0.647692307692308,0.655384615384615,0.692307692307692,0.684615384615385,0.680769230769231,0.68,0.7,0.684615384615385,0.643076923076923,0.621538461538462
"GestureMidAirD3",0.391538461538461,0.374615384615385,0.383076923076923,0.438461538461538,0.436923076923077,0.421538461538461,0.404615384615385,0.415384615384615,0.392307692307692,0.367692307692308,0.366153846153846
"GesturePebbleZ1",0.911046511627907,0.912209302325581,0.918604651162791,0.930232558139535,0.923255813953488,0.92093023255814,0.919186046511628,0.912790697674419,0.918604651162791,0.905813953488372,0.912790697674419
"GesturePebbleZ2",0.905696202531646,0.891139240506329,0.893670886075949,0.892405063291139,0.9,0.90379746835443,0.90126582278481,0.917721518987342,0.89873417721519,0.89620253164557,0.878481012658228
"GunPoint",1,0.998666666666666,0.998666666666666,1,1,1,0.999333333333333,1,1,1,0.998666666666666
"GunPointAgeSpan",0.991455696202532,0.991139240506329,0.992405063291139,0.990506329113924,0.990506329113924,0.990506329113924,0.991139240506329,0.990506329113924,0.990506329113924,0.990506329113924,0.991772151898734
"GunPointMaleVersusFemale",0.993037974683544,0.993670886075949,0.993670886075949,0.993670886075949,0.993670886075949,0.993987341772152,0.993037974683544,0.993670886075949,0.993670886075949,0.992405063291139,0.992405063291139
"GunPointOldVersusYoung",0.976190476190476,0.971428571428571,0.976507936507936,0.974603174603175,0.975873015873016,0.974603174603174,0.973968253968254,0.974603174603175,0.971428571428571,0.974603174603174,0.971428571428571
"Ham",0.753333333333333,0.703809523809524,0.737142857142857,0.742857142857143,0.733333333333333,0.726666666666667,0.72952380952381,0.761904761904762,0.733333333333333,0.744761904761905,0.699047619047619
"HandOutlines",0.951891891891892,0.930810810810811,0.925945945945946,0.956756756756757,0.959459459459459,0.956216216216216,0.951351351351351,0.964864864864865,0.940540540540541,0.936756756756757,0.888648648648649
"Haptics",0.543831168831169,0.499025974025974,0.520779220779221,0.577922077922078,0.574675324675325,0.558116883116883,0.547077922077922,0.561688311688312,0.519480519480519,0.521428571428571,0.475324675324675
"Herring",0.6796875,0.628125,0.653125,0.671875,0.65,0.65625,0.6484375,0.734375,0.59375,0.6375,0.628125
"HouseTwenty",0.983193277310924,0.982352941176471,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.979831932773109,0.979831932773109
"InlineSkate",0.491090909090909,0.532,0.530545454545455,0.581818181818182,0.578181818181818,0.574727272727273,0.559272727272727,0.549090909090909,0.543636363636364,0.472363636363636,0.503272727272727
"InsectEPGRegularTrain",0.996385542168675,0.99718875502008,0.996787148594378,1,0.999196787148594,0.998393574297189,0.997991967871486,0.995983935742972,1,0.996787148594378,0.994377510040161
"InsectEPGSmallTrain",0.965863453815261,0.917269076305221,0.937349397590361,0.971887550200803,0.967068273092369,0.965060240963855,0.958232931726907,0.971887550200803,0.931726907630522,0.963855421686747,0.907630522088354
"InsectWingbeatSound",0.603888888888889,0.607626262626263,0.60969696969697,0.642929292929293,0.633737373737374,0.632222222222222,0.626515151515152,0.621212121212121,0.627777777777778,0.584848484848485,0.583131313131313
"ItalyPowerDemand",0.966375121477162,0.965792031098153,0.966569484936832,0.965986394557823,0.966180758017492,0.966375121477162,0.96734693877551,0.966958211856171,0.965014577259475,0.966763848396501,0.964042759961127
"LargeKitchenAppliances",0.8904,0.8736,0.873066666666667,0.874666666666667,0.876266666666667,0.876533333333333,0.877066666666667,0.896,0.869333333333333,0.886933333333333,0.8688
"Lightning2",0.788524590163934,0.824590163934426,0.826229508196721,0.836065573770492,0.839344262295082,0.842622950819672,0.836065573770492,0.80327868852459,0.836065573770492,0.79344262295082,0.819672131147541
"Lightning7",0.834246575342466,0.823287671232877,0.832876712328767,0.835616438356164,0.841095890410959,0.838356164383562,0.83972602739726,0.849315068493151,0.849315068493151,0.824657534246575,0.813698630136986
"Mallat",0.957398720682303,0.957185501066098,0.953944562899787,0.969722814498934,0.968955223880597,0.96771855010661,0.966695095948827,0.966311300639659,0.96545842217484,0.939360341151386,0.935095948827292
"Meat",0.913333333333333,0.93,0.916666666666667,0.916666666666667,0.926666666666667,0.926666666666667,0.92,0.933333333333333,0.916666666666667,0.893333333333333,0.926666666666667
"MedicalImages",0.744078947368421,0.728815789473684,0.733947368421053,0.772368421052632,0.764210526315789,0.759736842105263,0.752105263157895,0.756578947368421,0.742105263157895,0.725526315789474,0.698947368421053
"MelbournePedestrian",0.9,0.897006970069701,0.897252972529725,0.908569085690857,0.908569085690857,0.907175071750718,0.905084050840508,0.906109061090611,0.906109061090611,0.890118901189012,0.884132841328413
"MiddlePhalanxOutlineCorrect",0.835051546391752,0.828522336769759,0.824742268041237,0.84192439862543,0.837800687285223,0.837800687285223,0.835051546391753,0.838487972508591,0.835051546391753,0.821305841924399,0.80893470790378
"MiddlePhalanxOutlineAgeGroup",0.504545454545455,0.519480519480519,0.519480519480519,0.545454545454545,0.532467532467532,0.522077922077922,0.519480519480519,0.493506493506493,0.538961038961039,0.509090909090909,0.503896103896104
